Appt,Name,Charity,Registered Number,Date
A207,T617389061043666148,Employment Development and Information Centre (Longford0 Limited,20058708,2001-10-31
A208,T2983635771963426402,Clonmel Union,20006983,2016-12-15
A209,T8334019426486933668,Cappamore Housing Association Company by Limited Guarantee,20066840,2007-02-14
A210,T3001713609541316824,Sn Nicolais Naofa,20139117,2016-01-26
A211,T417008133284750665,Saint Philomena's National School,20019310,2015-12-01
A212,T21004977641839235,Ballintubber N S,20133634,2019-12-20
A213,T6935085174649930995,Sn N Breandain,20122263,2015-11-01
A214,T3251878224228003008,C.J. Kickham Band Limited,20048624,2016-04-25
A215,T4188011970134259250,Glencrow Hall,20084042,2015-03-15
A216,T8095491153498366076,Cloonacool N S,20134105,2015-12-01
A217,T8299618942368282721,Ennis N S,20110536,2018-10-01
A218,T9054148306167032479,Obair Newmarket-On-Fergus Limited.,20026738,2004-07-21
A219,T6902322793681869093,St. Joseph's Penny Dinner Fund Trust,20053055,2012-04-23
A220,T9176329676325307007,Milltown Housing Association Limited,20038397,1998-03-06
A221,T4471793238398136588,Engineers Without Borders Ireland CLG,20158101,2015-12-14
A222,T682778443969842286,Glengurt N S,20127251,2015-12-01
A223,T1151546086792254060,Enniscorthy Tidy Towns Association Limited,20050078,2005-05-19
A224,T1978021510354563780,Dalkey Irish Heritage Town Company Limited,20026363,2002-07-11
A225,T1693923766340702232,TU Dublin Foundation,20045807,2009-03-04
A226,T1453513684827728161,Damer And Fortick Charity,20003074,2009-06-19
A227,T1021215056891589086,St. Joseph's National School (Mulhussey),20131661,2015-10-22
A228,T6192762082414065681,Cloonbonnif N S,20133252,2015-12-01
A229,T314925882605252905,Roscommon S P C A,20072735,2018-01-13
A230,T3943284255154721787,Milltown Housing Association Limited,20038397,1998-03-06
A231,T4993791459835422821,CanTalk,20142247,2018-02-01
A232,T8099349483200177822,St. Joseph's Foundation,20016104,2000-01-01
A233,T1425884731861220416,Offaly County Childcare Committee Limited,20049782,2012-09-27
A234,T2751092427780121693,Ballinrobe Family Resource Centre Limited,20061456,2013-03-01
A235,T3234547056302199089,Cloonloo Development 2000 Limited,20051273,2000-08-23
A236,T7702824899936210122,Saint Philomena's National School,20019310,2015-12-01
A237,T2046852148213161188,Misean Cara,20055325,2015-05-27
