Name,Charity,Registered Number,Date
T3804765122539346066,Ronanstown Women's Community Development Project Limited,20075576,2014-11-27
T698350112720140417,Obair Newmarket-On-Fergus Limited.,20026738,2000-03-31
T6233054614932583189,Offaly Money Advice and Budgeting Service Limited,20055745,2011-01-20
T8247814810310851296,Rosbeg/Downstrands Care of the Aged Committee,20045760,1980-01-01
T7541371594517610483,Irish Refugee Council,20025724,2014-03-19
T5326662969213334870,Rosary College,20145811,2016-10-24
T3019145542524668357,Ronald McDonald House Charities (IRL),20037000,2016-02-29
T2641989070991374660,Clonroche N S,20137731,2013-09-25
T8378107395812349828,Glengurt N S,20127251,2015-12-01
T2696213247261893943,Saint Patrick's College - Cavan.,20016326,2014-10-14
T4147994765687389328,Offaly Integrated Local Development Company Limited,20072551,2012-10-23
T7678699367883349649,Cloonloo Development 2000 Limited,20051273,2000-08-23
T7436328760184854581,Irish Society for Autism,20008529,1983-05-27
T7436328760184854581,Irish Society for Autism Housing Association Limited,20065140,2006-08-25
T1064402000373019599,Roscommon County Citizens Information Service Limited,20048815,2007-10-24
T1064402000373019599,Roscommon Home Services Co-operative Ltd,20056827,2008-06-30
T8461225665958792633,Damer And Fortick Charity,20003074,2009-06-19
T3403375727688158451,Employment Development and Information Centre (Longford0 Limited,20058708,2001-10-31
T96138106704120567,Clonmel Union,20006983,2016-12-15
T4672468369408412740,Cappamore Housing Association Company by Limited Guarantee,20066840,2007-02-14
T2997516172297828387,Sn Nicolais Naofa,20139117,2016-01-26
T2924062391649897834,Saint Philomena's National School,20019310,2015-12-01
T5340411819666385141,Ballintubber N S,20133634,2019-12-20
T3547383359089017646,Sn N Breandain,20122263,2015-11-01
T4892840435650294204,C.J. Kickham Band Limited,20048624,2016-04-25
T3975614728444864358,Glencrow Hall,20084042,2015-03-15
T5506265344908326991,Cloonacool N S,20134105,2015-12-01
T2319302189559091689,Ennis N S,20110536,2018-10-01
T7293811355829051176,Obair Newmarket-On-Fergus Limited.,20026738,2004-07-21
T4274190639603758121,St. Joseph's Penny Dinner Fund Trust,20053055,2012-04-23
T5431720650412460252,Milltown Housing Association Limited,20038397,1998-03-06
T1456576372037432657,Engineers Without Borders Ireland CLG,20158101,2015-12-14
T5303207140208829960,Glengurt N S,20127251,2015-12-01
T5192827445722508508,Enniscorthy Tidy Towns Association Limited,20050078,2005-05-19
T3087436094953615171,Dalkey Irish Heritage Town Company Limited,20026363,2002-07-11
T6768925234766656405,TU Dublin Foundation,20045807,2009-03-04
T6458305100691992783,Damer And Fortick Charity,20003074,2009-06-19
